num_nodes,trial 0,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,trial 11,trial 12,trial 13,trial 14,trial 15,trial 16,trial 17,trial 18,trial 19,trial 20,trial 21,trial 22,trial 23,trial 24,trial 25,trial 26,trial 27,trial 28,trial 29,trial 30,trial 31,trial 32,trial 33,trial 34,trial 35,trial 36,trial 37,trial 38,trial 39,trial 40,trial 41,trial 42,trial 43,trial 44,trial 45,trial 46,trial 47,trial 48,trial 49,trial 50,trial 51,trial 52,trial 53,trial 54,trial 55,trial 56,trial 57,trial 58,trial 59,trial 60,trial 61,trial 62,trial 63,trial 64,trial 65,trial 66,trial 67,trial 68,trial 69,trial 70,trial 71,trial 72,trial 73,trial 74,trial 75,trial 76,trial 77,trial 78,trial 79,trial 80,trial 81,trial 82,trial 83,trial 84,trial 85,trial 86,trial 87,trial 88,trial 89,trial 90,trial 91,trial 92,trial 93,trial 94,trial 95,trial 96,trial 97,trial 98,trial 99
20,3.066985,2.896733,2.887924,2.891931,2.892071,2.890449,2.890554,2.887788,2.891848,2.889961,2.886074,2.888351,2.887772,2.888896,2.886934,2.88869,2.887216,2.888765,2.886368,2.886785,2.888079,2.891404,2.888582,2.890602,2.886577,2.890912,2.888951,2.889442,2.887119,2.889699,2.88911,2.89125,2.886686,2.889657,2.889931,2.891601,2.891787,2.88993,2.891328,2.89333,2.892777,2.890695,2.889362,2.890117,2.892253,2.89063,2.893302,2.892533,2.892011,2.892184,2.892897,2.89202,2.891223,2.893454,2.890895,2.892093,2.891846,2.892393,2.893919,2.8911,2.891938,2.891737,2.89326,2.89128,2.892265,2.889882,2.894304,2.892283,2.893885,2.893394,2.892816,2.894785,2.892888,2.894802,2.896933,2.892303,2.891262,2.894968,2.895135,2.894256,2.895693,2.892639,2.892413,2.895263,2.893486,2.896083,2.89697,2.894465,2.894291,2.895805,2.896754,2.897104,2.8968,2.899819,2.901058,2.898246,2.898874,2.894785,2.895074,2.895872
30,3.66943,3.550332,3.548782,3.548928,3.550735,3.549331,3.554041,3.550457,3.55124,3.550079,3.551719,3.552587,3.553373,3.554847,3.55012,3.551544,3.548465,3.553184,3.553353,3.550317,3.553236,3.552773,3.553118,3.552537,3.550122,3.550729,3.551113,3.550608,3.551574,3.553377,3.553315,3.554696,3.551716,3.553742,3.552461,3.554483,3.553725,3.551694,3.554705,3.553515,3.552654,3.554544,3.556735,3.556529,3.554117,3.555193,3.553476,3.554711,3.554343,3.558547,3.555257,3.553123,3.557582,3.555036,3.555519,3.552536,3.555872,3.554445,3.552142,3.554431,3.554542,3.557177,3.5542,3.55408,3.553249,3.552052,3.556044,3.550877,3.554837,3.553003,3.552356,3.551237,3.548644,3.55372,3.550216,3.549892,3.549745,3.552473,3.552771,3.550625,3.553325,3.549584,3.551194,3.55047,3.551629,3.549752,3.548523,3.547082,3.54809,3.54855,3.54824,3.548756,3.548048,3.54437,3.548265,3.54772,3.548814,3.545305,3.548057,3.550627
40,4.082308,4.029461,4.034438,4.031667,4.031828,4.032504,4.032546,4.032465,4.032225,4.030077,4.031083,4.027743,4.028513,4.032852,4.02403,4.025187,4.02658,4.028539,4.024304,4.028291,4.025321,4.026075,4.022112,4.026796,4.024352,4.026214,4.022825,4.026807,4.027178,4.026405,4.023963,4.026581,4.025912,4.02653,4.023162,4.026265,4.023432,4.029753,4.021649,4.026777,4.021513,4.02088,4.019984,4.022631,4.018406,4.01989,4.021658,4.020344,4.019281,4.021212,4.019507,4.020027,4.017342,4.021642,4.018563,4.019583,4.018459,4.020475,4.018416,4.017414,4.018537,4.016562,4.018126,4.019269,4.018649,4.016597,4.016293,4.015196,4.01449,4.01726,4.014457,4.017348,4.017421,4.017396,4.020024,4.020187,4.01589,4.017248,4.020904,4.018498,4.017413,4.014218,4.015045,4.016787,4.013999,4.015672,4.016102,4.017995,4.017574,4.018799,4.018253,4.01617,4.013838,4.014868,4.015604,4.01325,4.016594,4.015058,4.011367,4.014209
50,4.426338,4.429914,4.419945,4.420058,4.424671,4.425117,4.424898,4.429726,4.423505,4.427347,4.424587,4.434087,4.42508,4.426321,4.424564,4.426334,4.429032,4.425309,4.421655,4.427722,4.428153,4.42804,4.426049,4.427389,4.426465,4.431376,4.427105,4.427123,4.432204,4.431148,4.430776,4.430595,4.432714,4.429583,4.427864,4.431072,4.433489,4.430754,4.429748,4.426613,4.433273,4.428576,4.437797,4.43718,4.431091,4.43507,4.438851,4.433083,4.433443,4.434292,4.430202,4.426805,4.429893,4.427609,4.430714,4.432184,4.426643,4.42499,4.427146,4.426794,4.431106,4.430749,4.427522,4.426076,4.42981,4.431573,4.433057,4.429369,4.434846,4.43127,4.433539,4.428823,4.436027,4.430626,4.435133,4.429925,4.433766,4.439477,4.437734,4.432926,4.435569,4.432839,4.437644,4.434546,4.438688,4.43449,4.439992,4.442984,4.439911,4.431767,4.435241,4.436044,4.441139,4.436569,4.438127,4.435872,4.445339,4.43742,4.441323,4.435315
60,4.794664,4.796453,4.791,4.789935,4.794539,4.793893,4.788183,4.79435,4.794921,4.795601,4.788012,4.795772,4.796228,4.799787,4.802557,4.798628,4.801704,4.799001,4.799892,4.798125,4.794147,4.794339,4.791478,4.790498,4.791064,4.788695,4.786324,4.794277,4.79261,4.790312,4.788836,4.793125,4.792391,4.792007,4.785204,4.785669,4.792029,4.789896,4.788532,4.789719,4.789466,4.787144,4.783601,4.790644,4.78869,4.788756,4.789326,4.784352,4.786819,4.787154,4.784061,4.784425,4.793009,4.791607,4.78503,4.788092,4.795145,4.795495,4.786237,4.784906,4.784794,4.789694,4.793393,4.789333,4.785735,4.792203,4.789351,4.782927,4.787756,4.78759,4.788864,4.778537,4.793405,4.791885,4.791888,4.790282,4.788677,4.784427,4.789354,4.792106,4.785558,4.791219,4.789357,4.786485,4.790246,4.791025,4.788598,4.788852,4.788048,4.780161,4.78224,4.77986,4.785588,4.779051,4.782132,4.783642,4.779535,4.785806,4.786989,4.784493
70,5.082613,5.076394,5.081683,5.076375,5.079103,5.074822,5.078068,5.076794,5.077071,5.077195,5.073107,5.072343,5.074184,5.077577,5.073963,5.073604,5.074508,5.075201,5.065042,5.073167,5.066731,5.069917,5.073404,5.069534,5.072301,5.072255,5.068481,5.076156,5.067209,5.070623,5.067075,5.066379,5.063847,5.074173,5.064308,5.069373,5.068861,5.066345,5.068396,5.070956,5.071819,5.074398,5.068085,5.074764,5.07263,5.072864,5.06973,5.063454,5.063609,5.071085,5.065301,5.071039,5.068971,5.069121,5.079705,5.068468,5.069954,5.068562,5.066923,5.064585,5.070187,5.082017,5.072247,5.073981,5.081411,5.076206,5.070694,5.065218,5.0733,5.077751,5.079474,5.068529,5.061548,5.06768,5.062162,5.06952,5.072409,5.069668,5.068432,5.067119,5.073695,5.070147,5.071934,5.074786,5.072779,5.073736,5.072026,5.070755,5.072924,5.06406,5.071731,5.076387,5.073123,5.071712,5.078179,5.077537,5.071578,5.071156,5.07578,5.07405
80,5.325177,5.325452,5.323135,5.325021,5.319342,5.326841,5.32668,5.32876,5.327624,5.33637,5.333568,5.333876,5.34024,5.344449,5.343644,5.342551,5.344716,5.337809,5.343825,5.334285,5.340461,5.342151,5.340191,5.341195,5.343203,5.341749,5.347881,5.338889,5.327809,5.335003,5.339562,5.342859,5.331714,5.342161,5.344333,5.337903,5.336673,5.340581,5.343585,5.338353,5.346359,5.343223,5.343752,5.337432,5.345631,5.340975,5.342923,5.339422,5.342001,5.337451,5.33908,5.334109,5.339674,5.34457,5.335545,5.332578,5.337464,5.337029,5.338137,5.337516,5.341828,5.340924,5.331247,5.341964,5.337002,5.341407,5.34321,5.342809,5.338477,5.336153,5.333537,5.335481,5.332747,5.334017,5.335475,5.334645,5.330169,5.343733,5.325862,5.327097,5.335302,5.332684,5.332723,5.33226,5.331954,5.331149,5.332632,5.332422,5.335265,5.331719,5.333906,5.33039,5.334909,5.331441,5.331581,5.333259,5.327915,5.328675,5.32966,5.332763
90,5.535816,5.534413,5.535126,5.528052,5.53178,5.533549,5.532034,5.533533,5.537377,5.533499,5.530461,5.531839,5.528585,5.531443,5.530497,5.528072,5.528312,5.530833,5.528391,5.530413,5.528381,5.523281,5.526581,5.522223,5.526502,5.526182,5.524988,5.522932,5.528379,5.513224,5.520731,5.521886,5.526055,5.520124,5.524201,5.525275,5.524735,5.526164,5.523431,5.519526,5.524629,5.52611,5.525991,5.522785,5.522015,5.528327,5.525059,5.524006,5.525958,5.52409,5.528307,5.52828,5.52142,5.523049,5.531844,5.526198,5.521669,5.523385,5.52701,5.522258,5.529968,5.514474,5.518133,5.518243,5.520068,5.521087,5.523053,5.521844,5.518013,5.517069,5.522192,5.524403,5.521484,5.518855,5.522766,5.52247,5.52253,5.523363,5.523198,5.518006,5.523482,5.524445,5.518107,5.522019,5.525572,5.524633,5.526496,5.524487,5.527027,5.52731,5.529567,5.52183,5.528132,5.531609,5.532854,5.532276,5.531782,5.532463,5.537046,5.523778
100,5.718882,5.718339,5.716186,5.720017,5.719318,5.723707,5.718014,5.717812,5.723656,5.722826,5.722705,5.725353,5.722009,5.715495,5.721247,5.727171,5.730055,5.730585,5.731892,5.728133,5.723965,5.736819,5.729091,5.74073,5.714794,5.723115,5.723142,5.717488,5.728132,5.724947,5.719656,5.729218,5.723559,5.728399,5.727464,5.72781,5.722763,5.733966,5.724873,5.731668,5.73448,5.733947,5.725809,5.737415,5.734677,5.731846,5.729333,5.738768,5.731611,5.730604,5.729448,5.737126,5.733516,5.74395,5.738906,5.736627,5.732709,5.734487,5.736477,5.749219,5.746425,5.746461,5.746038,5.745417,5.749916,5.746096,5.748682,5.746946,5.751007,5.744868,5.748588,5.750976,5.745802,5.747003,5.754213,5.744898,5.744811,5.754599,5.75194,5.758163,5.752258,5.747826,5.751572,5.747264,5.748047,5.75646,5.753693,5.747255,5.754149,5.761351,5.753799,5.754323,5.753128,5.759916,5.745322,5.753673,5.753758,5.742046,5.758391,5.739287
800,8.102158,8.13365,8.12344,8.11022,8.06165,8.09907,8.143944,8.135951,8.090699,8.117301,8.118452,8.090676,8.09134,8.100165,8.11136,8.106481,8.109232,8.120313,8.075517,8.086496,8.0834,8.115123,8.113087,8.105173,8.106337,8.107639,8.113735,8.09051,8.109663,8.114352,8.139885,8.120308,8.110288,8.106159,8.101166,8.101142,8.076215,8.079115,8.137667,8.084096,8.117902,8.071842,8.127882,8.108016,8.128215,8.112268,8.138145,8.11441,8.117804,8.084407,8.084864,8.08839,8.097141,8.102204,8.102576,8.135006,8.174158,8.134107,8.156768,8.137303,8.125586,8.122393,8.074166,8.113488,8.109636,8.134001,8.129773,8.140889,8.162336,8.130387,8.092429,8.122112,8.126362,8.128979,8.113272,8.144599,8.146261,8.104799,8.072356,8.126181,8.077122,8.084672,8.125961,8.131593,8.132947,8.114571,8.093633,8.100314,8.112971,8.102063,8.122417,8.132206,8.163611,8.128872,8.101088,8.137966,8.137002,8.084765,8.155908,8.150454
