num_nodes,trial 0,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,trial 11,trial 12,trial 13,trial 14,trial 15,trial 16,trial 17,trial 18,trial 19,trial 20,trial 21,trial 22,trial 23,trial 24,trial 25,trial 26,trial 27,trial 28,trial 29,trial 30,trial 31,trial 32,trial 33,trial 34,trial 35,trial 36,trial 37,trial 38,trial 39,trial 40,trial 41,trial 42,trial 43,trial 44,trial 45,trial 46,trial 47,trial 48,trial 49,trial 50,trial 51,trial 52,trial 53,trial 54,trial 55,trial 56,trial 57,trial 58,trial 59,trial 60,trial 61,trial 62,trial 63,trial 64,trial 65,trial 66,trial 67,trial 68,trial 69,trial 70,trial 71,trial 72,trial 73,trial 74,trial 75,trial 76,trial 77,trial 78,trial 79,trial 80,trial 81,trial 82,trial 83,trial 84,trial 85,trial 86,trial 87,trial 88,trial 89,trial 90,trial 91,trial 92,trial 93,trial 94,trial 95,trial 96,trial 97,trial 98,trial 99
20 nodes,0.074321,0.065187,0.068344,0.068132,0.072323,0.058797,0.066295,0.064764,0.060836,0.065831,0.062686,0.062204,0.065034,0.065644,0.066785,0.066856,0.058824,0.059694,0.0633,0.066103,0.062291,0.069445,0.069876,0.06366,0.066534,0.058392,0.064312,0.063829,0.069238,0.066197,0.065624,0.066131,0.064724,0.064699,0.058802,0.071766,0.071219,0.06446,0.060986,0.065989,0.062073,0.070848,0.060491,0.061589,0.065071,0.073479,0.067931,0.074516,0.058004,0.0608,0.058229,0.063003,0.064686,0.068572,0.064193,0.063665,0.059271,0.065103,0.06334,0.067001,0.063267,0.061093,0.068548,0.061874,0.064028,0.058627,0.067122,0.065402,0.068922,0.069286,0.065087,0.057316,0.064074,0.060136,0.060496,0.0635,0.066942,0.066953,0.068185,0.071203,0.067136,0.063859,0.07108,0.065248,0.069997,0.062477,0.066751,0.066366,0.0639,0.062735,0.067206,0.06451,0.062872,0.066186,0.068546,0.061857,0.063599,0.063208,0.063702,0.065821
30 nodes,0.091937,0.088509,0.095743,0.097643,0.105509,0.099343,0.10251,0.104671,0.093946,0.091448,0.093064,0.093054,0.094312,0.099593,0.099698,0.084437,0.102656,0.093413,0.103906,0.100599,0.094995,0.101371,0.09842,0.094219,0.103855,0.102647,0.092651,0.099954,0.109384,0.090686,0.102304,0.095527,0.111002,0.09417,0.093426,0.08705,0.095544,0.098926,0.093497,0.102812,0.106462,0.092699,0.089335,0.094797,0.103963,0.0982,0.108591,0.090163,0.093538,0.100128,0.104046,0.098281,0.095339,0.105739,0.095656,0.100343,0.089009,0.118942,0.089418,0.107393,0.109319,0.105315,0.098744,0.105302,0.105592,0.103789,0.101805,0.09958,0.100472,0.090277,0.09937,0.09223,0.106902,0.100432,0.092484,0.109554,0.103591,0.09166,0.110187,0.106098,0.098254,0.100095,0.096744,0.092353,0.092157,0.112448,0.098501,0.093918,0.10597,0.096973,0.099738,0.099951,0.104941,0.104866,0.106549,0.103715,0.10065,0.110229,0.104831,0.106614
40 nodes,0.122897,0.13691,0.125337,0.140565,0.125342,0.13009,0.130938,0.115383,0.134742,0.118119,0.119382,0.131521,0.126459,0.1327,0.108697,0.1415,0.135254,0.140819,0.142895,0.130028,0.136099,0.146791,0.138717,0.12716,0.126028,0.13181,0.151731,0.135602,0.121453,0.115649,0.136419,0.14005,0.121964,0.125877,0.121307,0.136258,0.123017,0.120799,0.12821,0.134121,0.144248,0.12152,0.119836,0.142459,0.140445,0.118179,0.137852,0.132244,0.148989,0.127996,0.125045,0.141251,0.133464,0.115768,0.114086,0.137634,0.131657,0.129036,0.131517,0.132631,0.128552,0.128367,0.137105,0.139478,0.124199,0.143338,0.136952,0.133905,0.118528,0.138785,0.124085,0.129209,0.130814,0.145119,0.12595,0.127778,0.121601,0.119625,0.1409,0.133332,0.143647,0.146985,0.127579,0.121791,0.123745,0.122468,0.122845,0.131223,0.138503,0.128757,0.144528,0.122488,0.138285,0.137596,0.13609,0.121304,0.147603,0.123809,0.135129,0.132247
50 nodes,0.149278,0.156364,0.157289,0.153639,0.151702,0.163359,0.16676,0.172073,0.164244,0.166592,0.166684,0.164591,0.151228,0.158979,0.163595,0.153213,0.172537,0.165897,0.161071,0.174718,0.160779,0.167376,0.161583,0.161165,0.148708,0.157826,0.15558,0.162728,0.166622,0.149146,0.167212,0.142587,0.136276,0.139922,0.17122,0.170597,0.156519,0.13666,0.164654,0.150075,0.163557,0.164993,0.16196,0.162088,0.176504,0.16472,0.169945,0.167727,0.148393,0.157526,0.166683,0.171741,0.176615,0.163074,0.157512,0.163388,0.143389,0.160671,0.179749,0.168991,0.158301,0.172414,0.157697,0.170042,0.155096,0.165893,0.159848,0.167757,0.160972,0.157277,0.156141,0.175394,0.19768,0.138579,0.163183,0.164067,0.172732,0.182498,0.176691,0.184729,0.159685,0.155423,0.167258,0.168366,0.178452,0.164571,0.15936,0.148214,0.187895,0.169462,0.145367,0.15269,0.156514,0.15169,0.156424,0.178377,0.157887,0.145786,0.172312,0.168458
60 nodes,0.194468,0.187816,0.186833,0.180096,0.200701,0.206668,0.198881,0.197026,0.202864,0.191368,0.168595,0.152546,0.195671,0.190768,0.213414,0.184505,0.191093,0.2185,0.178666,0.178949,0.184042,0.194512,0.196521,0.165981,0.176872,0.18418,0.190502,0.210036,0.177573,0.186461,0.182064,0.181237,0.230461,0.207081,0.201506,0.201888,0.195366,0.183197,0.174852,0.214446,0.168245,0.23303,0.175498,0.179887,0.206437,0.166407,0.177538,0.182269,0.179387,0.207676,0.209148,0.185928,0.168313,0.181714,0.178358,0.179177,0.183333,0.176177,0.208451,0.213448,0.180227,0.217602,0.21455,0.190161,0.183349,0.194952,0.181182,0.199166,0.206715,0.197134,0.169342,0.202454,0.19683,0.169192,0.176727,0.174684,0.21765,0.190557,0.186343,0.172325,0.199197,0.207257,0.173066,0.191767,0.178219,0.19489,0.219269,0.176019,0.170205,0.184455,0.179119,0.164741,0.202323,0.219079,0.224533,0.190331,0.203203,0.213991,0.175698,0.212607
70 nodes,0.251597,0.226265,0.21109,0.231773,0.19278,0.24921,0.205608,0.196686,0.244717,0.26745,0.207296,0.208331,0.191069,0.260094,0.209715,0.224373,0.219916,0.230024,0.240859,0.222875,0.286367,0.207601,0.213897,0.244423,0.227082,0.250671,0.240404,0.267839,0.205749,0.214829,0.218966,0.234323,0.217408,0.240526,0.239581,0.221609,0.210564,0.234735,0.228222,0.236565,0.226617,0.231674,0.226553,0.247831,0.247244,0.222073,0.209687,0.227252,0.219268,0.228268,0.237214,0.239361,0.211987,0.225993,0.210153,0.231081,0.236356,0.244571,0.205251,0.216474,0.243442,0.229013,0.236619,0.223316,0.243651,0.248086,0.200556,0.252501,0.2562,0.250198,0.256644,0.253487,0.242254,0.220476,0.195569,0.249179,0.221995,0.252156,0.244295,0.213999,0.253379,0.25926,0.247985,0.203041,0.252849,0.231018,0.226897,0.189944,0.20941,0.245716,0.241169,0.196327,0.242853,0.218132,0.249593,0.224243,0.255886,0.22266,0.248358,0.225552
80 nodes,0.240968,0.274032,0.284195,0.290529,0.245102,0.273098,0.310978,0.292348,0.250032,0.277126,0.274987,0.273279,0.283109,0.271524,0.288511,0.274629,0.242978,0.284306,0.284416,0.262436,0.247406,0.244159,0.246362,0.23951,0.273566,0.253643,0.288527,0.268528,0.25948,0.272209,0.265772,0.26389,0.301845,0.221885,0.268344,0.246741,0.220613,0.305437,0.219131,0.251102,0.280566,0.302852,0.276725,0.278653,0.294849,0.255672,0.256013,0.266342,0.294768,0.276548,0.238261,0.21409,0.268557,0.239817,0.265796,0.221194,0.280814,0.240254,0.253717,0.265584,0.294588,0.239432,0.219897,0.252471,0.289651,0.331153,0.261588,0.249546,0.266877,0.242917,0.263709,0.272679,0.288377,0.266008,0.222426,0.331665,0.252978,0.237545,0.256707,0.259306,0.267081,0.242019,0.287549,0.281358,0.283052,0.206215,0.284137,0.271634,0.263978,0.276531,0.247012,0.241779,0.295584,0.262776,0.288968,0.246334,0.286207,0.282332,0.245413,0.321445
90 nodes,0.358391,0.295926,0.314095,0.287807,0.353681,0.267601,0.346675,0.297315,0.308634,0.353838,0.306661,0.256637,0.28662,0.298271,0.350492,0.395954,0.2954,0.300797,0.324139,0.297925,0.330759,0.31354,0.262097,0.31236,0.319453,0.234741,0.306205,0.304152,0.317444,0.281433,0.297964,0.319997,0.310804,0.285195,0.342918,0.32583,0.274252,0.272415,0.254993,0.286427,0.36811,0.310863,0.287975,0.297749,0.295561,0.357462,0.308319,0.356286,0.312925,0.337736,0.281319,0.285177,0.29538,0.304785,0.272572,0.274266,0.352565,0.292646,0.305925,0.298084,0.311583,0.345145,0.311789,0.30557,0.330877,0.303423,0.288158,0.296771,0.290231,0.309282,0.329221,0.32218,0.301497,0.313558,0.307425,0.279369,0.301978,0.315655,0.318965,0.298197,0.304711,0.264317,0.335897,0.317753,0.287887,0.310375,0.297621,0.277336,0.272682,0.315998,0.238953,0.285669,0.278868,0.350081,0.27387,0.360564,0.406688,0.307234,0.358724,0.314506
100 nodes,0.324378,0.366574,0.36034,0.423269,0.330586,0.33333,0.371156,0.352302,0.348019,0.36534,0.344209,0.380271,0.336302,0.345433,0.396866,0.416844,0.38102,0.374937,0.355637,0.379006,0.379868,0.373185,0.339809,0.371972,0.325857,0.426317,0.364275,0.351831,0.325303,0.361128,0.32963,0.370575,0.336187,0.322874,0.414306,0.436117,0.319916,0.343714,0.330122,0.353665,0.361366,0.317842,0.334764,0.374659,0.368019,0.343479,0.309211,0.324956,0.335014,0.33491,0.35191,0.340788,0.318247,0.323603,0.382069,0.37052,0.351642,0.394271,0.299262,0.356042,0.353522,0.315118,0.309248,0.30892,0.36431,0.365655,0.327291,0.403989,0.312729,0.417565,0.297042,0.33687,0.300871,0.304875,0.282701,0.357558,0.311323,0.312383,0.341016,0.361068,0.347891,0.364408,0.360547,0.339725,0.388349,0.332913,0.321327,0.372323,0.320534,0.355163,0.257824,0.310329,0.356224,0.336739,0.304957,0.319178,0.399623,0.375087,0.355802,0.339668
800 nodes,3.154905,3.357213,3.67971,4.47488,3.473701,2.672198,3.474479,3.062506,3.558288,3.842652,3.188599,3.560733,2.656185,3.707315,3.62089,3.168448,3.460321,3.689166,3.665123,3.389531,3.023845,3.584043,3.874901,3.719989,3.082416,3.276976,3.648837,3.661544,3.503372,3.447121,3.504865,3.540048,3.599767,3.297737,3.531388,3.588431,3.577054,3.331785,3.422791,3.277816,3.047527,3.543363,3.658245,3.510908,3.642166,3.297929,3.704223,3.664372,3.722284,3.416898,3.811643,3.544107,3.789332,4.566586,3.440938,3.462294,3.174878,3.425358,3.798301,3.73875,3.660449,3.734649,3.347326,3.282555,3.421227,3.287982,3.291044,4.398583,3.197266,3.793358,2.891441,3.634708,3.53553,3.127661,3.652775,3.760533,3.619337,3.482899,3.724061,3.636459,3.053706,3.752283,3.76752,3.160506,3.063548,3.310165,3.351188,3.059838,3.616249,3.255971,3.628511,3.364258,3.635949,3.632305,3.031942,3.623681,3.972151,3.176957,3.473757,2.781367
